name,type,start_time,duration,"ack","address","read","data"
"I2C","start",0.26541314,2e-08,,,,
"I2C","start",0.26542344,1.99999999e-08,,,,
"I2C","stop",0.26542354,2e-08,,,,
"I2C","start",0.26544646,2e-08,,,,
"I2C","address",0.26547824,0.00028006,true,0x08,false,
"I2C","data",0.26576444,0.00028006,true,,,0x4F
"I2C","data",0.26605064,0.00028006,true,,,0x00
"I2C","stop",0.2663626,2e-08,,,,
"I2C","start",0.2663831,2e-08,,,,
"I2C","address",0.26641486,0.00028008,true,0x08,false,
"I2C","data",0.26670106,0.00028008,true,,,0x50
"I2C","data",0.26698726,0.00028008,true,,,0x0F
"I2C","stop",0.26729922,2e-08,,,,
"I2C","start",0.26732144,2e-08,,,,
"I2C","address",0.26735322,0.00028008,true,0x08,false,
"I2C","data",0.26763942,0.00028006,true,,,0x4C
"I2C","data",0.26792562,0.00028006,true,,,0x05
"I2C","stop",0.26823758,2.00000001e-08,,,,
"I2C","start",0.26825944,1.99999999e-08,,,,
"I2C","address",0.26829122,0.00028006,true,0x08,false,
"I2C","data",0.26857742,0.00028006,true,,,0x4D
"I2C","data",0.26886362,0.00028006,true,,,0x03
"I2C","stop",0.26917558,2e-08,,,,
"I2C","start",0.26919744,1.99999999e-08,,,,
"I2C","address",0.26922922,0.00028006,true,0x08,false,
"I2C","data",0.26951542,0.00028006,true,,,0x52
"I2C","data",0.26980162,0.00028006,true,,,0x09
"I2C","stop",0.27011358,2e-08,,,,
"I2C","start",0.27013404,2e-08,,,,
"I2C","address",0.2701658,0.00028008,true,0x08,false,
"I2C","data",0.270452,0.00028008,true,,,0x53
"I2C","data",0.2707382,0.00028008,true,,,0x0F
"I2C","stop",0.27105016,1.99999999e-08,,,,
"I2C","start",0.28134426,2e-08,,,,
"I2C","address",0.28137602,0.00028008,true,0x08,false,
"I2C","data",0.28166222,0.00028006,true,,,0x9C
"I2C","data",0.28194842,0.00028006,true,,,0x80
"I2C","stop",0.28226038,2e-08,,,,
"I2C","start",0.28228104,2e-08,,,,
"I2C","address",0.28231282,0.00028006,true,0x08,false,
"I2C","data",0.28259902,0.00028006,true,,,0x9E
"I2C","data",0.28288522,0.00028006,true,,,0x20
"I2C","stop",0.28319718,2e-08,,,,
"I2C","start",0.29334398,2e-08,,,,
"I2C","address",0.29337576,0.00028006,true,0x08,false,
"I2C","data",0.29366196,0.00028006,true,,,0x42
"I2C","data",0.29394816,0.00028006,true,,,0x02
"I2C","stop",0.29426012,1.99999999e-08,,,,
"I2C","start",0.30434396,1.99999999e-08,,,,
"I2C","address",0.30437574,0.00028006,true,0x08,false,
"I2C","data",0.30466194,0.00028006,true,,,0x94
"I2C","data",0.30494814,0.00028006,true,,,0xA0
"I2C","stop",0.3052601,2.00000001e-08,,,,
"I2C","start",0.3052782,1.99999999e-08,,,,
